"","sido","sigungu","sigungu_cd","2020_1","2020_2","2020_3","2020_4","2020_5","2020_6","2020_7","2020_8","2020_9","2020_10","2020_11","2020_12","2021_1","2021_2","2021_3","2021_4","2021_5","2021_6","2021_7","2021_8","2021_9","2021_10","2021_11","2021_12"
"1","서울","종로구",11010,3,1,0,1,0,1,1,1,0,2,0,1,1,4,4,2,0,3,3,4,6,4,2,0
"2","서울","중구",11020,0,0,1,2,0,0,0,1,1,1,0,0,0,0,1,3,2,2,0,0,1,2,1,0
"3","서울","용산구",11030,3,2,1,3,2,2,1,2,0,2,1,0,2,4,2,1,6,6,5,10,6,1,3,5
"4","서울","성동구",11040,0,1,3,0,3,4,1,1,1,2,5,3,2,4,1,4,4,3,4,3,3,1,0,1
"5","서울","광진구",11050,2,1,2,2,0,1,4,6,1,4,5,2,1,2,2,5,2,1,3,5,4,3,0,0
"6","서울","동대문구",11060,1,5,1,6,5,2,4,5,2,2,4,0,0,6,6,9,8,6,11,6,8,5,1,1
"7","서울","중랑구",11070,3,1,2,2,2,1,1,2,3,4,4,3,3,0,2,18,11,10,5,7,7,7,6,4
"8","서울","성북구",11080,1,6,4,0,2,8,5,4,2,1,4,3,0,1,14,14,8,8,5,6,2,13,0,1
"9","서울","강북구",11090,0,1,2,3,1,5,4,1,3,1,1,6,3,0,8,6,5,11,5,4,10,5,0,5
"10","서울","도봉구",11100,2,2,0,2,2,2,2,2,0,3,4,2,0,3,12,12,7,3,8,8,8,4,2,1
"11","서울","노원구",11110,4,0,3,1,2,3,6,4,7,3,5,5,4,1,12,8,6,14,6,9,4,6,2,0
"12","서울","은평구",11120,4,3,4,6,4,9,10,5,7,4,7,8,4,8,14,11,9,11,9,12,8,9,4,5
"13","서울","서대문구",11130,2,0,3,1,1,5,6,3,2,2,3,6,3,2,5,6,4,4,4,4,8,6,2,2
"14","서울","마포구",11140,3,1,3,1,1,5,2,2,3,5,3,1,2,3,8,4,11,5,6,3,9,5,7,6
